
15377700
200 (64, 19683, 19747)
201 (121, 19652, 19773)
202 (125, 19683, 19808)
203 (317, 19683, 20000)
204 (243, 20237, 20480)
205 (128, 20449, 20577)
206 (289, 20736, 21025)
207 (16, 21125, 21141)
208 (4489, 16807, 21296)
209 (23, 21609, 21632)
210 (243, 21632, 21875)
211 (1, 21951, 21952)
212 (32, 24025, 24057)
213 (7, 24057, 24064)
214 (1, 24299, 24300)
215 (11, 24565, 24576)
216 (2401, 22599, 25000)
217 (1, 25920, 25921)
218 (6728, 19683, 26411)
219 (8192, 19683, 27875)
220 (256, 27869, 28125)
221 (1, 28125, 28126)
222 (49, 28512, 28561)
223 (1125, 27436, 28561)
224 (6561, 22000, 28561)
225 (5, 28561, 28566)
226 (16, 28561, 28577)
227 (32, 28561, 28593)
228 (111, 28561, 28672)
229 (1, 29375, 29376)
230 (13778, 15625, 29403)
231 (10108, 19683, 29791)
232 (1, 29791, 29792)
233 (13122, 16807, 29929)
234 (13568, 16807, 30375)
235 (6561, 24064, 30625)
236 (351, 30625, 30976)
237 (14297, 16807, 31104)
238 (1, 31212, 31213)
239 (2209, 29791, 32000)
240 (7, 32761, 32768)
241 (125, 32643, 32768)
242 (8379, 24389, 32768)
243 (1, 32768, 32769)
244 (37, 32768, 32805)
245 (15625, 17303, 32928)
246 (507, 32768, 33275)
247 (125, 33489, 33614)
248 (1, 33614, 33615)
249 (32, 34263, 34295)
250 (16, 34375, 34391)
251 (128, 34263, 34391)
252 (1875, 32768, 34643)
253 (23, 34969, 34992)
254 (3721, 32000, 35721)
255 (15625, 20096, 35721)
256 (25, 35912, 35937)
257 (6561, 29791, 36352)
258 (8303, 28561, 36864)
259 (11, 36864, 36875)
260 (1024, 39601, 40625)
261 (7857, 32768, 40625)
262 (847, 40625, 41472)
263 (31, 41472, 41503)
264 (14641, 26912, 41553)
265 (243, 42632, 42875)
266 (19, 43904, 43923)
267 (2048, 41875, 43923)
268 (11449, 32768, 44217)
269 (20736, 24389, 45125)
270 (16384, 29241, 45625)
271 (11552, 34375, 45927)
272 (6859, 39366, 46225)
273 (4913, 41743, 46656)
274 (1, 49247, 49248)
275 (729, 49000, 49729)
276 (1, 50175, 50176)
277 (125, 50176, 50301)
278 (2048, 48373, 50421)
279 (1, 50624, 50625)
280 (896, 49729, 50625)
281 (28, 50625, 50653)
282 (232, 50421, 50653)
283 (1875, 48778, 50653)
284 (22528, 28125, 50653)
285 (19683, 31250, 50933)
286 (1331, 50653, 51984)
287 (10985, 41503, 52488)
288 (2197, 50625, 52822)
289 (637, 52488, 53125)
290 (2704, 50421, 53125)
291 (7168, 46875, 54043)
292 (16384, 38291, 54675)
293 (6912, 48013, 54925)
294 (1, 55296, 55297)
295 (3125, 52441, 55566)
296 (4913, 50653, 55566)
297 (19683, 36125, 55808)
298 (1, 57121, 57122)
299 (1, 58563, 58564)
300 (1, 59048, 59049)
301 (4, 59045, 59049)
302 (49, 59000, 59049)
303 (169, 58880, 59049)
304 (485, 58564, 59049)
305 (968, 58081, 59049)
306 (10000, 49049, 59049)
307 (13924, 45125, 59049)
308 (15488, 43561, 59049)
309 (15625, 43424, 59049)
310 (1, 59049, 59050)
311 (119, 59049, 59168)
312 (128, 59049, 59177)
313 (4096, 55223, 59319)
314 (56, 59319, 59375)
315 (343, 59049, 59392)
316 (1, 59535, 59536)
317 (4, 60021, 60025)
318 (121, 59904, 60025)
319 (976, 59049, 60025)
320 (1944, 58081, 60025)
321 (19683, 40817, 60500)
322 (1960, 59049, 61009)
323 (14641, 46875, 61516)
324 (49, 61952, 62001)
325 (2048, 60025, 62073)
326 (125, 62083, 62208)
327 (49, 62451, 62500)
328 (1, 63000, 63001)
329 (9, 64000, 64009)
330 (15625, 48384, 64009)
331 (2875, 61952, 64827)
332 (1, 65024, 65025)
333 (3, 65533, 65536)
334 (7, 65529, 65536)
335 (23, 65513, 65536)
336 (169, 65367, 65536)
337 (317, 65219, 65536)
338 (709, 64827, 65536)
339 (6487, 59049, 65536)
340 (7569, 57967, 65536)
341 (10611, 54925, 65536)
342 (89, 65536, 65625)
343 (513, 65536, 66049)
344 (7000, 59049, 66049)
345 (2048, 64827, 66875)
346 (625, 66603, 67228)
347 (1, 68607, 68608)
348 (800, 68121, 68921)
349 (49, 69120, 69169)
350 (3, 69629, 69632)
351 (6859, 63125, 69984)
352 (10609, 59375, 69984)
353 (2, 70225, 70227)
354 (1, 71874, 71875)
355 (13312, 59049, 72361)
356 (243, 72962, 73205)
357 (15625, 58806, 74431)
358 (361, 75264, 75625)
359 (31104, 44521, 75625)
360 (1, 76544, 76545)
361 (17, 77824, 77841)
362 (284, 77841, 78125)
363 (301, 77824, 78125)
364 (507, 77618, 78125)
365 (841, 77284, 78125)
366 (2349, 75776, 78125)
367 (9261, 68864, 78125)
368 (14256, 63869, 78125)
369 (29282, 48843, 78125)
370 (29791, 48334, 78125)
371 (36864, 41261, 78125)
372 (38759, 39366, 78125)
373 (16, 78125, 78141)
374 (121, 78125, 78246)
375 (243, 78125, 78368)
376 (607, 78125, 78732)
377 (625, 78608, 79233)
378 (775, 78732, 79507)
379 (4096, 75411, 79507)
380 (81, 79919, 80000)
381 (4913, 75087, 80000)
382 (2401, 78732, 81133)
383 (22201, 59049, 81250)
384 (729, 81191, 81920)
385 (1, 82943, 82944)
386 (1, 83520, 83521)
387 (172, 83349, 83521)
388 (577, 82944, 83521)
389 (1152, 82369, 83521)
390 (2401, 81120, 83521)
391 (25921, 57600, 83521)
392 (8192, 75843, 84035)
393 (2401, 81920, 84321)
394 (6561, 78608, 85169)
395 (15, 85169, 85184)
396 (7168, 78125, 85293)
397 (31250, 54043, 85293)
398 (512, 85293, 85805)
399 (2500, 83349, 85849)
400 (85, 87723, 87808)
401 (729, 87079, 87808)
402 (2125, 85683, 87808)
403 (14641, 73167, 87808)
404 (19683, 68125, 87808)
405 (1681, 86528, 88209)
406 (16384, 71825, 88209)
407 (729, 89383, 90112)
408 (6591, 83521, 90112)
409 (1, 90624, 90625)
410 (32768, 58357, 91125)
411 (11, 91125, 91136)
412 (35, 93312, 93347)
413 (8192, 85849, 94041)
414 (16807, 78125, 94932)
415 (1, 97199, 97200)
416 (16807, 81608, 98415)
417 (729, 99127, 99856)
418 (19, 99981, 100000)
419 (1, 101250, 101251)
420 (1331, 100000, 101331)
421 (529, 101871, 102400)
422 (87, 102400, 102487)
423 (5408, 98415, 103823)
424 (625, 103823, 104448)
425 (1, 105624, 105625)
426 (2673, 103823, 106496)
427 (1, 107648, 107649)
428 (5, 107648, 107653)
429 (128, 109375, 109503)
Elapsed: 6524.08768438
